2023-12-23 13:44:40.0963 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 13:44:40.0963 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 13:44:40.1545 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 13:44:40.2969 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 13:46:59.9155 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 13:47:00.1516 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 13:47:00.2010 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 13:47:00.2306 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 13:47:00.2306 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 13:47:00.2934 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 13:47:00.4318 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 13:48:34.0303 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 13:48:34.2318 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 13:48:34.2756 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 13:48:34.3055 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 13:48:34.3055 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 13:48:34.3672 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 13:48:34.5180 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 13:51:22.7663 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 13:51:22.9871 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 13:51:23.0341 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 13:51:23.0653 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 13:51:23.0653 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 13:51:23.1261 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 13:51:23.2567 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 13:52:08.2737 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 13:52:08.4943 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 13:52:08.5451 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 13:52:08.5747 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 13:52:08.5747 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 13:52:08.6395 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 13:52:08.7708 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 13:55:49.9959 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 13:55:50.2283 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 13:55:50.2721 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 13:55:50.3033 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 13:55:50.3033 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 13:55:50.3689 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 13:55:50.5488 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 13:56:25.5074 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 13:56:25.7508 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 13:56:25.7930 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 13:56:25.8183 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 13:56:25.8183 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 13:56:25.8928 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 13:56:26.0451 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
